"tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"Departamento","Caballito",1,1,37,101000
"Departamento","Caballito",1,1,37,98500
"Departamento","Caballito",1,1,38,104000
"Departamento","San Telmo",1,1,36,75000
"Departamento","Colegiales",3,2,76,305000
"Departamento","Barrio Norte",1,1,34,120000
"Departamento","Villa Crespo",4,2,75,215000
"Departamento","Puerto Madero",3,2,110,720000
"Departamento","San Cristobal",2,1,87,155000
"Departamento","San Cristobal",4,1,72,150000
"Departamento","San Cristobal",1,1,53,150000
"Departamento","Villa Urquiza",1,1,33,120000
"Departamento","Villa Urquiza",3,2,120,280000
"Departamento","Flores",1,1,35,74000
"PH","Villa Crespo",2,1,49,104000
"Departamento","Flores",2,1,48,109000
"Departamento","Nuñez",2,1,35,105000
"Departamento","Nuñez",1,1,32,135000
"Departamento","Nuñez",2,1,34,110000
"Departamento","Almagro",2,1,50,145000
"Departamento","Almagro",3,2,62,230000
"Departamento","Almagro",2,1,69,155000
"Departamento","Almagro",2,1,56,143000
"Departamento","Liniers",2,1,49,116000
"Departamento","Palermo",2,1,112,204000
"Departamento","Palermo",1,1,35,185000
"Departamento","Palermo",1,1,37,165000
"Departamento","Palermo",2,2,48,193000
"Departamento","Palermo",1,1,34,155000
"Departamento","Palermo",2,2,48,193000
"Departamento","Palermo",2,1,67,145000
"Departamento","Palermo",2,1,65,165000
"Departamento","Palermo",2,1,39,115000
"Departamento","Palermo",1,1,42,175000
"Departamento","Barracas",2,1,40,100000
"Departamento","Belgrano",2,2,66,239800
"Departamento","Belgrano",1,1,40,150000
"Departamento","Recoleta",2,1,35,150000
"Departamento","Recoleta",2,2,52,205000
"Departamento","Recoleta",2,1,38,138000
"Departamento","Recoleta",1,1,32,145000
"Departamento","Recoleta",2,1,34,112000
"Departamento","Recoleta",1,1,42,155000
"Departamento","Recoleta",2,2,95,360000
"Departamento","Balvanera",2,1,63,135000
"Departamento","Caballito",2,1,48,124000
"Departamento","San Telmo",2,1,48,99000
"Departamento","Colegiales",2,1,41,140000
"Departamento","Barrio Norte",2,1,50,183000
"Departamento","Las Cañitas",2,1,48,140000
"Departamento","Villa Crespo",2,2,63,170000
"Departamento","Villa Crespo",2,1,53,125000
"Departamento","Villa Crespo",2,1,38,84102
"Departamento","Villa Crespo",2,1,62,110000
"Departamento","Villa Crespo",2,1,37,85000
"Departamento","Villa Urquiza",2,1,35,107000
"Departamento","Villa Urquiza",2,1,69,139000
"Departamento","Velez Sarsfield",1,1,44,85000
"Departamento","Villa del Parque",2,1,45,127000
"Departamento","Parque Centenario",2,1,56,143000
"PH","Villa Crespo",3,2,200,580000
"Departamento","Once",3,2,125,230000
"Departamento","Boedo",3,1,81,111000
"Departamento","Flores",3,2,74,189000
"Departamento","Almagro",3,2,96,195000
"Departamento","Almagro",3,2,87,173000
"Departamento","Almagro",3,2,90,290000
"Departamento","Almagro",3,1,55,120000
"Departamento","Almagro",3,2,65,217000
"Departamento","Almagro",3,3,85,185000
"Departamento","Almagro",3,1,45,105000
"Departamento","Palermo",3,1,63,290000
"Departamento","Palermo",3,1,48,152000
"Departamento","Palermo",3,1,80,149000
"Departamento","Palermo",3,1,69,285000
"Departamento","Palermo",3,2,92,286000
"Departamento","Palermo",3,1,48,152000
"Departamento","Belgrano",3,1,71,175000
"Departamento","Belgrano",3,2,89,340000
"Departamento","Belgrano",3,2,78,245000
"Departamento","Belgrano",3,3,140,470000
"Departamento","Recoleta",3,1,70,275000
"Departamento","Recoleta",3,2,66,205000
"Departamento","Caballito",3,2,89,206700
"Departamento","Caballito",3,2,83,195000
"Departamento","Colegiales",3,2,94,340000
"Departamento","Parque Chas",3,2,82,175000
"Departamento","Barrio Norte",4,2,78,185000
"Departamento","Las Cañitas",3,3,143,490000
"Departamento","Villa Crespo",3,2,63,170000
"Departamento","Villa Crespo",3,1,75,149000
"Departamento","Villa Crespo",3,1,75,149000
"Departamento","San Cristobal",3,1,60,115000
"Departamento","Villa Urquiza",3,2,80,268000
"Departamento","Parque Centenario",3,1,69,155000
"PH","Almagro",4,2,102,255000
"PH","Barracas",4,1,165,158000
"PH","Floresta",4,3,166,295000
"Departamento","Palermo",4,4,185,850000
"Departamento","Palermo",4,2,160,440000
"Departamento","Palermo",4,3,150,385000
"Departamento","Palermo",4,2,126,450000
"Departamento","Palermo",4,2,99,385000
"Departamento","Palermo",4,3,140,595000
"Departamento","Belgrano",4,2,98,295000
"Departamento","Belgrano",4,2,89,250000
"Departamento","Belgrano",4,2,87,397000
"Departamento","Belgrano",4,2,89,230000
"Departamento","Recoleta",5,2,154,550000
"Departamento","Recoleta",5,3,213,595000
"Departamento","Recoleta",5,2,180,620000
"Departamento","Barrio Norte",5,2,154,550000
"Departamento","Villa Crespo",4,1,95,180000
"Departamento","Villa Crespo",4,2,99,225000
